Question,Answer,Source,Verb,Target
How are the animals and vertebral column related?,animals possess vertebral column,the animals,possess,vertebral column
What does the animals possess?,vertebral column,the animals,possess,vertebral column
Who or what possess vertebral column?,animals,the animals,possess,vertebral column
What is the relationship between right ventricle and the blood?,part of the body,right ventricle,pump,the blood
Explain the connection between right ventricle and the blood.,heart,right ventricle,pump,the blood
How are right ventricle and the blood related?,the right ventricle pump the blood,right ventricle,pump,the blood
What does right ventricle pump?,blood,right ventricle,pump,the blood
Who or what pumps the blood?,right ventricle,right ventricle,pump,the blood
What is the relationship between the rate and a. heat ib?,influence,the rate,affect,a. heat ib
Explain the connection between the rate and a. heat ib.,a. heat ib,the rate,affect,a. heat ib
How are the rate and a. heat ib related?,affect a. heat ib,the rate,affect,a. heat ib
What affects a. heat ib?,rate,the rate,affect,a. heat ib
What does the rate affect?,a. heat,the rate,affect,a. heat ib
Who or what affects a. heat ib?,the rate,the rate,affect,a. heat ib
What is the relationship between this inheritance and place?,location,this inheritance,take,place
Explain the connection between this inheritance and place.,place,this inheritance,take,place
How are this inheritance and place related?,place,this inheritance,take,place
What does this inheritance take?,place,this inheritance,take,place
Who or what takes place?,this inheritance,this inheritance,take,place
What is the relationship between the force and every object?,force pulls,the force,pull,every object
Explain the connection between the force and every object.,it pulls,the force,pull,every object
How are the force and every object related?,the force pull,the force,pull,every object
What does the force pull?,every object,the force,pull,every object
Who or what pulls every object?,the force,the force,pull,every object
What is the relationship between decreases and electron?,is proportional to,decreases,donate,electron
Explain the connection between decreases and electron.,electrons can be divided into two groups.,decreases,donate,electron
How are decreases and electron related?,decreases donate electron,decreases,donate,electron
Who or what donate electron?,decreases,decreases,donate,electron
What is the relationship between medicines and agent?,is a metabolite of another,medicines,sweeten,agent
Explain the connection between medicines and agent.,agent is a metabolite of another metabolite,medicines,sweeten,agent
How are medicines and agent related?,agent,medicines,sweeten,agent
Who or what sweeter agent?,medicines,medicines,sweeten,agent
What is the relationship between its axis and an angle?,subtend,its axis,subtend,an angle
Explain the connection between its axis and an angle.,the axis of an elliptical plane,its axis,subtend,an angle
How are its axis and an angle related?,subtend,its axis,subtend,an angle
What does its axis subtend?,an angle,its axis,subtend,an angle
Who or what suited an angle?,its axis,its axis,subtend,an angle
What is the relationship between project work and the sites?,sites of interest,project work,visit,the sites
Explain the connection between project work and the sites.,project work is a part of a larger project,project work,visit,the sites
How are project work and the sites related?,project work visit the sites,project work,visit,the sites
What does project work visit?,sites,project work,visit,the sites
Who or what visits the sites?,project work,project work,visit,the sites
What is the relationship between polluted air and various airborne diseases?,cause,polluted air,cause,various airborne diseases
Explain the connection between polluted air and various airborne diseases.,polluted air,polluted air,cause,various airborne diseases
How are polluted air and various airborne diseases related?,polluted air cause various airborne diseases,polluted air,cause,various airborne diseases
What causes various airborne diseases?,polluted air,polluted air,cause,various airborne diseases
What does polluted air cause?,various airborne diseases,polluted air,cause,various airborne diseases
Who or what causes various airborne diseases?,polluted air,polluted air,cause,various airborne diseases
What is the relationship between a meteor doesn t and the surface?,distance from it,a meteor doesn t,reach,the surface
Explain the connection between a meteor doesn t and the surface.,reaches the surface of the earth,a meteor doesn t,reach,the surface
How are a meteor doesn t and the surface related?,doesn t reach,a meteor doesn t,reach,the surface
What does a meteor doesn t reach?,surface,a meteor doesn t,reach,the surface
Who or what reach the surface?,meteor,a meteor doesn t,reach,the surface
What is the relationship between 36 developed countries and the emission?,country's position in the global climate change process,36 developed countries,reduce,the emission
Explain the connection between 36 developed countries and the emission.,reducing the amount of CO2 in the atmosphere,36 developed countries,reduce,the emission
How are 36 developed countries and the emission related?,reduce the emission,36 developed countries,reduce,the emission
What does 36 developed countries reduce?,emission,36 developed countries,reduce,the emission
Who or what reduces the emission?,36 developed countries,36 developed countries,reduce,the emission
What is the relationship between this lens and virtual and diminished image?,produces virtual and diminished image,this lens,produce,virtual and diminished image
Explain the connection between this lens and virtual and diminished image.,blurred,this lens,produce,virtual and diminished image
How are this lens and virtual and diminished image related?,it produce virtual and diminished image,this lens,produce,virtual and diminished image
What produces virtual and diminished image?,this lens,this lens,produce,virtual and diminished image
What does this lens produce?,virtual and diminished image,this lens,produce,virtual and diminished image
Who or what produces virtual and diminished image?,this lens,this lens,produce,virtual and diminished image
What is the relationship between temperature and the rate?,increase,temperature,increase,the rate
Explain the connection between temperature and the rate.,increase the amount of water in a stream,temperature,increase,the rate
How are temperature and the rate related?,increase the rate,temperature,increase,the rate
Who or what increases the rate?,temperature,temperature,increase,the rate
What is the relationship between farmers and lime?,a source of energy,farmers,apply,lime
Explain the connection between farmers and lime.,to produce a product,farmers,apply,lime
How are farmers and lime related?,to grow crops,farmers,apply,lime
Who or what apply lime?,farmers,farmers,apply,lime
What is the relationship between inert gases and nuopen?,are a type of gas,inert gases,like,nuopen
Explain the connection between inert gases and nuopen.,are a type of gas,inert gases,like,nuopen
How are inert gases and nuopen related?,inert gases,inert gases,like,nuopen
What does inert gases like?,nuopen,inert gases,like,nuopen
Who or what likes nuopen?,inert gases,inert gases,like,nuopen
What is the relationship between natural fibres fibres and fire?,a source of heat,natural fibres fibres,catch,fire
Explain the connection between natural fibres fibres and fire.,they are flammable,natural fibres fibres,catch,fire
How are natural fibres fibres and fire related?,natural fibres fibres catch fire,natural fibres fibres,catch,fire
What does natural fibres fibres catch?,fire,natural fibres fibres,catch,fire
Who or what catch fire?,natural fibres,natural fibres fibres,catch,fire
What is the relationship between 10 28 a. choose and the best alternatives?,is a list of,10 28 a. choose,choose,the best alternatives
Explain the connection between 10 28 a. choose and the best alternatives.,is a list of words that begin with a comma.,10 28 a. choose,choose,the best alternatives
How are 10 28 a. choose and the best alternatives related?,the best alternatives,10 28 a. choose,choose,the best alternatives
What does 10 28 a. choose choose?,the best alternatives,10 28 a. choose,choose,the best alternatives
What is the relationship between inner planets and solid crust?,inner planets,inner planets,lack,solid crust
Explain the connection between inner planets and solid crust.,inner planets orbit the Sun,inner planets,lack,solid crust
How are inner planets and solid crust related?,inner planets,inner planets,lack,solid crust
What does inner planets lack?,solid crust,inner planets,lack,solid crust
Who or what lacks solid crust?,inner planets,inner planets,lack,solid crust
What is the relationship between the earth surface and global warming?,result,the earth surface,result,global warming
Explain the connection between the earth surface and global warming.,climate change,the earth surface,result,global warming
How are the earth surface and global warming related?,result,the earth surface,result,global warming
What does the earth surface result?,global warming,the earth surface,result,global warming
Who or what results global warming?,earth surface,the earth surface,result,global warming
What is the relationship between mendeleev and 2. gaps?,leave,mendeleev,leave,2. gaps
Explain the connection between mendeleev and 2. gaps.,he is a human,mendeleev,leave,2. gaps
How are mendeleev and 2. gaps related?,mendeleev leave,mendeleev,leave,2. gaps
Who or what leaves 2. gaps?,mendeleev,mendeleev,leave,2. gaps
What is the relationship between the atomic size and the group?,increase,the atomic size,increase,the group
Explain the connection between the atomic size and the group.,increase the number of atoms in a group,the atomic size,increase,the group
How are the atomic size and the group related?,increase the group,the atomic size,increase,the group
What does the atomic size increase?,the group,the atomic size,increase,the group
Who or what increases the group?,atomic size,the atomic size,increase,the group
What is the relationship between a child and a vaccine?,parent,a child,get,a vaccine
Explain the connection between a child and a vaccine.,a child's immune system,a child,get,a vaccine
How are a child and a vaccine related?,a child get a vaccine,a child,get,a vaccine
What does a child get?,vaccine,a child,get,a vaccine
Who or what gets a vaccine?,a child,a child,get,a vaccine
What is the relationship between the queen and standard worker size cell?,female,the queen,choose,standard worker size cell
Explain the connection between the queen and standard worker size cell.,the queen is a male,the queen,choose,standard worker size cell
How are the queen and standard worker size cell related?,the queen choose standard worker size cell,the queen,choose,standard worker size cell
What does the queen choose?,standard worker size cell,the queen,choose,standard worker size cell
What is the relationship between this group and enzymes?,metabolite,this group,secrete,enzymes
Explain the connection between this group and enzymes.,enzymes,this group,secrete,enzymes
How are this group and enzymes related?,secrete enzymes,this group,secrete,enzymes
What does this group secrete?,enzymes,this group,secrete,enzymes
Who or what secrets enzymes?,this group,this group,secrete,enzymes
What is the relationship between depletion and the components?,affect,depletion,affect,the components
Explain the connection between depletion and the components.,cause damage to the components,depletion,affect,the components
How are depletion and the components related?,affect the components,depletion,affect,the components
Who or what affects the components?,depletion,depletion,affect,the components
What is the relationship between the diagram and a type?,instance of,the diagram,represent,a type
Explain the connection between the diagram and a type.,diagram is a kind of representation,the diagram,represent,a type
How are the diagram and a type related?,the diagram represent a type,the diagram,represent,a type
What does the diagram represent?,type,the diagram,represent,a type
Who or what represents a type?,diagram,the diagram,represent,a type
"What is the relationship between 2, pressure and the rate?",is proportional to,"2, pressure",pressure,the rate
"Explain the connection between 2, pressure and the rate.",the rate of change,"2, pressure",pressure,the rate
"How are 2, pressure and the rate related?",rate,"2, pressure",pressure,the rate
"What does 2, pressure pressure?",the rate,"2, pressure",pressure,the rate
Who or what pressure the rate?,2,"2, pressure",pressure,the rate
What is the relationship between the plants and maize?,plants and maize,the plants,like,maize
Explain the connection between the plants and maize.,they are omnivores,the plants,like,maize
How are the plants and maize related?,plants,the plants,like,maize
What does the plants like?,maize,the plants,like,maize
Who or what likes maize?,plants,the plants,like,maize
What is the relationship between adrenaline and a person?,is a chemical,adrenaline,prepare,a person
Explain the connection between adrenaline and a person.,to perform a task,adrenaline,prepare,a person
How are adrenaline and a person related?,adrenaline is a chemical produced by the adrenal glands.,adrenaline,prepare,a person
What is the relationship between a hotter body and the sensation?,produces,a hotter body,produce,the sensation
Explain the connection between a hotter body and the sensation.,a hotter body produces the sensation,a hotter body,produce,the sensation
How are a hotter body and the sensation related?,a hotter body produce the sensation,a hotter body,produce,the sensation
What does a hotter body produce?,sensation,a hotter body,produce,the sensation
Who or what produces the sensation?,a hotter body,a hotter body,produce,the sensation
What is the relationship between bases and the indicators?,inverse,bases,change,the indicators
Explain the connection between bases and the indicators.,indicators are a type of information that can be used to predict the outcome of a given event.,bases,change,the indicators
How are bases and the indicators related?,bases change the indicators,bases,change,the indicators
Who or what changes the indicators?,bases,bases,change,the indicators
What is the relationship between the knowledge and the calculation?,is related to,the knowledge,regard,the calculation
Explain the connection between the knowledge and the calculation.,knowledge is related to,the knowledge,regard,the calculation
How are the knowledge and the calculation related?,The knowledge regard the calculation.,the knowledge,regard,the calculation
What does the knowledge regard?,the calculation,the knowledge,regard,the calculation
Who or what regards the calculation?,the knowledge,the knowledge,regard,the calculation
What is the relationship between mendel and the following laws?,formulating,mendel,formulate,the following laws
Explain the connection between mendel and the following laws.,physicist,mendel,formulate,the following laws
How are mendel and the following laws related?,mendel is a physicist,mendel,formulate,the following laws
What formulated the following laws?,mendel,mendel,formulate,the following laws
Who or what formulated the following laws?,mendel,mendel,formulate,the following laws
What is the relationship between asexual reproduction and place?,place of birth,asexual reproduction,take,place
Explain the connection between asexual reproduction and place.,place,asexual reproduction,take,place
How are asexual reproduction and place related?,place,asexual reproduction,take,place
What does asexual reproduction take?,asexual reproduction,asexual reproduction,take,place
Who or what takes place?,asexual reproduction,asexual reproduction,take,place
What is the relationship between both sheets and the ground?,they are on opposite sides,both sheets,reach,the ground
Explain the connection between both sheets and the ground.,sheets are on top of each other,both sheets,reach,the ground
How are both sheets and the ground related?,both sheets reach the ground,both sheets,reach,the ground
What does both sheets reach?,ground,both sheets,reach,the ground
Who or what reach the ground?,both sheets,both sheets,reach,the ground
What is the relationship between metal industries and iron?,industry,metal industries,like,iron
Explain the connection between metal industries and iron.,alloys,metal industries,like,iron
How are metal industries and iron related?,metal industries,metal industries,like,iron
What does metal industries like?,iron,metal industries,like,iron
Who or what likes iron?,metal industries,metal industries,like,iron
What is the relationship between human inhale it and severe effect?,cause,human inhale it,cause,severe effect
Explain the connection between human inhale it and severe effect.,inhale it cause severe effect,human inhale it,cause,severe effect
How are human inhale it and severe effect related?,human inhale it cause severe effect,human inhale it,cause,severe effect
What does human inhale it cause?,severe effect,human inhale it,cause,severe effect
Who or what causes severe effect?,human inhale it,human inhale it,cause,severe effect
What is the relationship between the capillary tube and space?,provide,the capillary tube,provide,space
Explain the connection between the capillary tube and space.,the capillary tube provides space,the capillary tube,provide,space
How are the capillary tube and space related?,provide space,the capillary tube,provide,space
What does the capillary tube provide?,space,the capillary tube,provide,space
What is the relationship between sprit lamp and heat?,is proportional to,sprit lamp,produce,heat
Explain the connection between sprit lamp and heat.,sprit lamp is a type of light bulb,sprit lamp,produce,heat
How are sprit lamp and heat related?,sprit lamp produces heat,sprit lamp,produce,heat
What does sprit lamp produce?,heat,sprit lamp,produce,heat
Who or what produces heat?,sprit lamp,sprit lamp,produce,heat
What is the relationship between creams and packs?,are used as a filler,creams,face,packs
Explain the connection between creams and packs.,are a form of cosmetics,creams,face,packs
How are creams and packs related?,face creams,creams,face,packs
Who or what faces packs?,creams,creams,face,packs
What is the relationship between hypothyroidism and significant decrease?,cause,hypothyroidism,cause,significant decrease
Explain the connection between hypothyroidism and significant decrease.,hypothyroidism causes a decrease in the amount of thyroid hormones in the body.,hypothyroidism,cause,significant decrease
How are hypothyroidism and significant decrease related?,hypothyroidism cause significant decrease,hypothyroidism,cause,significant decrease
Who or what causes significant decrease?,hypothyroidism,hypothyroidism,cause,significant decrease
"What is the relationship between compounds and methyl alcohol, formaldehyde, ete?",is a group,compounds,like,"methyl alcohol, formaldehyde, ete"
"Explain the connection between compounds and methyl alcohol, formaldehyde, ete.",are a group of compounds,compounds,like,"methyl alcohol, formaldehyde, ete"
"How are compounds and methyl alcohol, formaldehyde, ete related?",compounds,compounds,like,"methyl alcohol, formaldehyde, ete"
"What likes methyl alcohol, formaldehyde, ete?",compounds,compounds,like,"methyl alcohol, formaldehyde, ete"
"Who or what likes methyl alcohol, formaldehyde, ete?",compounds,compounds,like,"methyl alcohol, formaldehyde, ete"
What is the relationship between mendeleev and 2. gaps?,leave,mendeleev,leave,2. gaps
Explain the connection between mendeleev and 2. gaps.,he is a human,mendeleev,leave,2. gaps
How are mendeleev and 2. gaps related?,mendeleev leave,mendeleev,leave,2. gaps
Who or what leaves 2. gaps?,mendeleev,mendeleev,leave,2. gaps
What is the relationship between magnesium asan and hyperacidity hydroxide mg oh?,metabolizes,magnesium asan,reduce,hyperacidity hydroxide mg oh
Explain the connection between magnesium asan and hyperacidity hydroxide mg oh.,magnesium asan reduces hyperacidity hydroxide mg oh,magnesium asan,reduce,hyperacidity hydroxide mg oh
How are magnesium asan and hyperacidity hydroxide mg oh related?,magnesium asan reduce hyperacidity hydroxide mg oh,magnesium asan,reduce,hyperacidity hydroxide mg oh
What reduces hyperacidity hydroxide mg oh?,magnesium asan,magnesium asan,reduce,hyperacidity hydroxide mg oh
What does magnesium asan reduce?,hyperacidity,magnesium asan,reduce,hyperacidity hydroxide mg oh
Who or what reduces hyperacidity hydroxide mg oh?,magnesium asan,magnesium asan,reduce,hyperacidity hydroxide mg oh
What is the relationship between some and the new generation?,some produce the new generation,some,produce,the new generation
Explain the connection between some and the new generation.,some produce the new generation,some,produce,the new generation
How are some and the new generation related?,some produce the new generation,some,produce,the new generation
What produces the new generation?,some,some,produce,the new generation
Who or what produces the new generation?,some,some,produce,the new generation
What is the relationship between plants and ripstats?,parent taxon,plants,reproduce,ripstats
Explain the connection between plants and ripstats.,"ripstats are a genus of ripstats in the genus ""Ripstats""",plants,reproduce,ripstats
How are plants and ripstats related?,plants reproduce ripstats,plants,reproduce,ripstats
Who or what reproduces ripstats?,plants,plants,reproduce,ripstats
What is the relationship between strong bases bases and complete dissociation?,dissociation,strong bases bases,undergo,complete dissociation
Explain the connection between strong bases bases and complete dissociation.,strong bases bases undergo dissociation,strong bases bases,undergo,complete dissociation
How are strong bases bases and complete dissociation related?,strong bases bases undergo complete dissociation,strong bases bases,undergo,complete dissociation
What does strong bases bases undergo?,complete dissociation,strong bases bases,undergo,complete dissociation
Who or what undergo complete dissociation?,strong bases bases,strong bases bases,undergo,complete dissociation
What is the relationship between mention and any two uses?,instance of,mention,mention,any two uses
Explain the connection between mention and any two uses.,synonyms,mention,mention,any two uses
What mentions any two uses?,mention,mention,mention,any two uses
Who or what mentions any two uses?,mention,mention,mention,any two uses
What is the relationship between global warming and climate change?,climate change,global warming,reduce,climate change
Explain the connection between global warming and climate change.,climate change is a result of global warming,global warming,reduce,climate change
How are global warming and climate change related?,climate change,global warming,reduce,climate change
What does global warming reduce?,climate change,global warming,reduce,climate change
Who or what reduces climate change?,global warming,global warming,reduce,climate change
What is the relationship between activity and an iron rod?,axes,activity,bend,an iron rod
Explain the connection between activity and an iron rod.,magnetism,activity,bend,an iron rod
How are activity and an iron rod related?,activity bends an iron rod,activity,bend,an iron rod
What bends an iron rod?,activity,activity,bend,an iron rod
Who or what bends an iron rod?,activity,activity,bend,an iron rod
What is the relationship between help and normal blood pressure?,is inversely proportional to the amount of blood pressure,help,balance,normal blood pressure
Explain the connection between help and normal blood pressure.,lowering blood pressure,help,balance,normal blood pressure
How are help and normal blood pressure related?,help balance normal blood pressure,help,balance,normal blood pressure
What balances normal blood pressure?,blood pressure,help,balance,normal blood pressure
Who or what balances normal blood pressure?,help,help,balance,normal blood pressure
What is the relationship between 10 33 sun and a vital role?,is a measure of,10 33 sun,play,a vital role
Explain the connection between 10 33 sun and a vital role.,the sun is a part of the solar system,10 33 sun,play,a vital role
How are 10 33 sun and a vital role related?,10 33 sun play a vital role,10 33 sun,play,a vital role
What plays a vital role?,10 33 sun,10 33 sun,play,a vital role
What does 10 33 sun play?,a vital role,10 33 sun,play,a vital role
Who or what plays a vital role?,sun,10 33 sun,play,a vital role
What is the relationship between its source strike and these reflected rays?,reflected rays,its source strike,reflect,these reflected rays
Explain the connection between its source strike and these reflected rays.,its source strike reflect these reflected rays,its source strike,reflect,these reflected rays
How are its source strike and these reflected rays related?,its source strike reflect these reflected rays,its source strike,reflect,these reflected rays
What reflect these reflected rays?,its source strike,its source strike,reflect,these reflected rays
What does its source strike reflect?,rays,its source strike,reflect,these reflected rays
Who or what reflect these reflected rays?,its source strike,its source strike,reflect,these reflected rays
What is the relationship between yeast and ammonia?,metabolise,yeast,use,ammonia
Explain the connection between yeast and ammonia.,to produce a chemical reaction,yeast,use,ammonia
How are yeast and ammonia related?,yeast and ammonia are related,yeast,use,ammonia
What is the relationship between doesn t and any satellites?,is a list of satellites,doesn t,consist,any satellites
Explain the connection between doesn t and any satellites.,is a list of satellites,doesn t,consist,any satellites
How are doesn t and any satellites related?,does n't consist any satellites,doesn t,consist,any satellites
What does doesn t consist?,satellites,doesn t,consist,any satellites
Who or what consists any satellites?,doesn t consist any satellites,doesn t,consist,any satellites
What is the relationship between curvature iii focal length and concave lens ii centre?,focal length,curvature iii focal length,follow,concave lens ii centre
Explain the connection between curvature iii focal length and concave lens ii centre.,concave lens ii,curvature iii focal length,follow,concave lens ii centre
How are curvature iii focal length and concave lens ii centre related?,concave lens ii centre,curvature iii focal length,follow,concave lens ii centre
What follows concave lens ii centre?,curvature iii focal length,curvature iii focal length,follow,concave lens ii centre
What does curvature iii focal length follow?,concave lens ii centre,curvature iii focal length,follow,concave lens ii centre
Who or what follows concave lens ii centre?,curvature iii focal length,curvature iii focal length,follow,concave lens ii centre
What is the relationship between clinical thermometer and temperature?,is a measure of temperature,clinical thermometer,read,temperature
Explain the connection between clinical thermometer and temperature.,thermometer is used to measure temperature,clinical thermometer,read,temperature
How are clinical thermometer and temperature related?,thermometer is a type of thermometer,clinical thermometer,read,temperature
What does clinical thermometer read?,temperature,clinical thermometer,read,temperature
Who or what reads temperature?,clinical thermometer,clinical thermometer,read,temperature
What is the relationship between a german philosopher and another theory?,propose,a german philosopher,propose,another theory
Explain the connection between a german philosopher and another theory.,a german philosopher proposes another theory,a german philosopher,propose,another theory
How are a german philosopher and another theory related?,german philosopher propose another theory,a german philosopher,propose,another theory
What does a german philosopher propose?,another theory,a german philosopher,propose,another theory
Who or what proposes another theory?,a german philosopher,a german philosopher,propose,another theory
What is the relationship between the piece and the ground?,surface,the piece,hit,the ground
Explain the connection between the piece and the ground.,landed on the ground,the piece,hit,the ground
How are the piece and the ground related?,The piece hit the ground.,the piece,hit,the ground
What does the piece hit?,the ground,the piece,hit,the ground
Who or what hits the ground?,piece,the piece,hit,the ground
What is the relationship between any object and some?,loss,any object,lose,some
Explain the connection between any object and some.,objects are a part of a system,any object,lose,some
How are any object and some related?,to each other,any object,lose,some
What does any object lose?,some,any object,lose,some
Who or what loses some?,any object,any object,lose,some
"What is the relationship between a thick, sticky consistency and pores excreta?",compound,"a thick, sticky consistency",contain,pores excreta
"Explain the connection between a thick, sticky consistency and pores excreta.","thick, sticky consistency contain pores excreta","a thick, sticky consistency",contain,pores excreta
"How are a thick, sticky consistency and pores excreta related?","thick, sticky consistency contain pores excreta","a thick, sticky consistency",contain,pores excreta
"What does a thick, sticky consistency contain?",pores excreta,"a thick, sticky consistency",contain,pores excreta
Who or what contains pores excreta?,"a thick, sticky consistency","a thick, sticky consistency",contain,pores excreta
What is the relationship between the hyper secretion and the high blood pressure?,hyper secretion,the hyper secretion,increase,the high blood pressure
Explain the connection between the hyper secretion and the high blood pressure.,hyper secretion,the hyper secretion,increase,the high blood pressure
How are the hyper secretion and the high blood pressure related?,hyper secretion increase the high blood pressure,the hyper secretion,increase,the high blood pressure
What increases the high blood pressure?,hyper secretion,the hyper secretion,increase,the high blood pressure
What does the hyper secretion increase?,high blood pressure,the hyper secretion,increase,the high blood pressure
Who or what increases the high blood pressure?,hyper secretion,the hyper secretion,increase,the high blood pressure
What is the relationship between the plants and mushroom?,plants,the plants,like,mushroom
Explain the connection between the plants and mushroom.,they eat it,the plants,like,mushroom
How are the plants and mushroom related?,plants,the plants,like,mushroom
What does the plants like?,mushroom,the plants,like,mushroom
Who or what likes mushroom?,plants,the plants,like,mushroom
What is the relationship between male silkworm and eggs?,parent,male silkworm,lay,eggs
Explain the connection between male silkworm and eggs.,male silkworm,male silkworm,lay,eggs
How are male silkworm and eggs related?,male silkworm,male silkworm,lay,eggs
What does male silkworm lay?,eggs,male silkworm,lay,eggs
Who or what lays eggs?,male silkworm,male silkworm,lay,eggs
What is the relationship between an electric motor and rotational motion?,electric motor,an electric motor,bring,rotational motion
Explain the connection between an electric motor and rotational motion.,electric motor,an electric motor,bring,rotational motion
How are an electric motor and rotational motion related?,electric motor,an electric motor,bring,rotational motion
What does an electric motor bring?,rotational motion,an electric motor,bring,rotational motion
Who or what brings rotational motion?,an electric motor,an electric motor,bring,rotational motion
What is the relationship between the transformer and low ac voltage?,convert,the transformer,convert,low ac voltage
Explain the connection between the transformer and low ac voltage.,transformer converts low ac voltage,the transformer,convert,low ac voltage
How are the transformer and low ac voltage related?,transformer convert low ac voltage,the transformer,convert,low ac voltage
What converts low ac voltage?,transformer,the transformer,convert,low ac voltage
What does the transformer convert?,ac voltage,the transformer,convert,low ac voltage
Who or what converts low ac voltage?,transformer,the transformer,convert,low ac voltage
What is the relationship between injury and instant death?,cause,injury,cause,instant death
Explain the connection between injury and instant death.,death is a result of a traumatic event such as a car accident or a firefighter's accident.,injury,cause,instant death
How are injury and instant death related?,injury causes instant death,injury,cause,instant death
Who or what causes instant death?,injury,injury,cause,instant death
What is the relationship between a concave lens and the rays?,diverge,a concave lens,diverge,the rays
Explain the connection between a concave lens and the rays.,concave lens,a concave lens,diverge,the rays
How are a concave lens and the rays related?,diverge,a concave lens,diverge,the rays
What does a concave lens diverge?,rays,a concave lens,diverge,the rays
Who or what diverged the rays?,a concave lens,a concave lens,diverge,the rays
What is the relationship between b. ha c.va via and aa b. ha c.va?,parent taxon,b. ha c.va via,belong,aa b. ha c.va
Explain the connection between b. ha c.va via and aa b. ha c.va.,"is a genus of flowering plants in the genus ""B. ha c.va""",b. ha c.va via,belong,aa b. ha c.va
How are b. ha c.va via and aa b. ha c.va related?,aa b. ha c.va,b. ha c.va via,belong,aa b. ha c.va
What belongs aa b. ha c.va?,via,b. ha c.va via,belong,aa b. ha c.va
What does b. ha c.va via belong?,aa,b. ha c.va via,belong,aa b. ha c.va
Who or what belongs aa b. ha c.va?,via,b. ha c.va via,belong,aa b. ha c.va
What is the relationship between a. auricles and valve blood circulation?,metabolizes,a. auricles,deoxygenate,valve blood circulation
Explain the connection between a. auricles and valve blood circulation.,a. auricles deoxygenate valve blood circulation,a. auricles,deoxygenate,valve blood circulation
How are a. auricles and valve blood circulation related?,a. auricles deoxygenate valve blood circulation,a. auricles,deoxygenate,valve blood circulation
What deoxygenates valve blood circulation?,a. auricles,a. auricles,deoxygenate,valve blood circulation
What does a. auricles deoxygenate?,valve blood circulation,a. auricles,deoxygenate,valve blood circulation
Who or what deoxygenates valve blood circulation?,a. auricles,a. auricles,deoxygenate,valve blood circulation
What is the relationship between chs ch and ane pentane?,subclass of,chs ch,pen,ane pentane
Explain the connection between chs ch and ane pentane.,pentane pentane pentane pentane pentane pentane pentane pentane,chs ch,pen,ane pentane
How are chs ch and ane pentane related?,Pentane is a pentane pentane is a pentane pentane is a pentan,chs ch,pen,ane pentane
What does chs ch pen?,ane pentane,chs ch,pen,ane pentane
Who or what pens ane pentane?,chs ch pen,chs ch,pen,ane pentane
What is the relationship between chromosomes and the hereditary characters?,transfer the hereditary characters,chromosomes,transfer,the hereditary characters
Explain the connection between chromosomes and the hereditary characters.,chromosomes transfer the hereditary characters,chromosomes,transfer,the hereditary characters
How are chromosomes and the hereditary characters related?,chromosomes transfer the hereditary characters,chromosomes,transfer,the hereditary characters
What is the relationship between the jar and carbon dioxide?,is present in the jar,the jar,contain,carbon dioxide
Explain the connection between the jar and carbon dioxide.,the jar contains carbon dioxide,the jar,contain,carbon dioxide
How are the jar and carbon dioxide related?,The jar contain carbon dioxide,the jar,contain,carbon dioxide
What does the jar contain?,carbon dioxide,the jar,contain,carbon dioxide
Who or what contains carbon dioxide?,jar,the jar,contain,carbon dioxide
What is the relationship between sufficient force and the blood?,pumping,sufficient force,pump,the blood
Explain the connection between sufficient force and the blood.,blood vessels,sufficient force,pump,the blood
How are sufficient force and the blood related?,sufficient force pump the blood,sufficient force,pump,the blood
What does sufficient force pump?,blood,sufficient force,pump,the blood
Who or what pumps the blood?,sufficient force,sufficient force,pump,the blood
What is the relationship between the white matter and shiny appearance?,given,the white matter,give,shiny appearance
Explain the connection between the white matter and shiny appearance.,the white matter give shiny appearance,the white matter,give,shiny appearance
How are the white matter and shiny appearance related?,give shiny appearance,the white matter,give,shiny appearance
What does the white matter give?,shiny appearance,the white matter,give,shiny appearance
Who or what gives shiny appearance?,the white matter,the white matter,give,shiny appearance
What is the relationship between developed countries and the activities?,reduce the activities,developed countries,reduce,the activities
Explain the connection between developed countries and the activities.,activities in developed countries are less likely to occur in developed countries.,developed countries,reduce,the activities
How are developed countries and the activities related?,activities,developed countries,reduce,the activities
What does developed countries reduce?,activities,developed countries,reduce,the activities
Who or what reduces the activities?,developed countries,developed countries,reduce,the activities
What is the relationship between top pan and the weight?,note,top pan,note,the weight
Explain the connection between top pan and the weight.,is used to measure the weight of an object,top pan,note,the weight
How are top pan and the weight related?,note the weight,top pan,note,the weight
What does top pan note?,weight,top pan,note,the weight
Who or what notes the weight?,top pan,top pan,note,the weight
What is the relationship between the distance and their masses?,keep their masses,the distance,keep,their masses
Explain the connection between the distance and their masses.,they are in the same place at the same time,the distance,keep,their masses
How are the distance and their masses related?,keep their masses,the distance,keep,their masses
What does the distance keep?,masses,the distance,keep,their masses
Who or what keeps their masses?,the distance,the distance,keep,their masses
What is the relationship between mass and 10 5 force?,given by,mass,give,10 5 force
Explain the connection between mass and 10 5 force.,mass is a measure of the mass of an object.,mass,give,10 5 force
How are mass and 10 5 force related?,mass gives 10 5 force,mass,give,10 5 force
What gives 10 5 force?,mass,mass,give,10 5 force
Who or what gives 10 5 force?,mass,mass,give,10 5 force
What is the relationship between about 500 meteorites and the surface?,surface of the earth,about 500 meteorites,hit,the surface
